Date,Region,Category,CustomerSegment,UnitsSold,Revenue,MarketingSpend,DiscountPct,Profit,ProfitMargin
2024-01-01,North,Electronics,Consumer,637,45197.37,4123.79,11.31,6284.67,13.9
2024-01-01,North,Clothing,Small Business,785,28437.18,2861.7,19.9,8057.24,28.33
2024-01-01,North,Home & Garden,Consumer,476,21914.81,1155.52,14.71,5108.79,23.31
2024-01-01,North,Sports,Consumer,300,15778.45,952.8,6.94,3607.27,22.86
2024-01-01,North,Books,Corporate,158,10407.2,561.75,10.87,3133.14,30.11
2024-01-01,South,Electronics,Consumer,476,36228.66,1881.6,9.0,5226.3,14.43
2024-01-01,South,Clothing,Consumer,267,23914.15,1014.13,6.71,7761.15,32.45
2024-01-01,South,Home & Garden,Corporate,182,16972.87,1296.81,5.36,4410.04,25.98
2024-01-01,South,Sports,Consumer,349,16299.2,752.93,12.86,3226.59,19.8
2024-01-01,South,Books,Consumer,145,7509.64,443.03,9.7,2648.07,35.26
2024-01-01,East,Electronics,Consumer,432,40719.03,1841.26,10.07,5271.83,12.95
2024-01-01,East,Clothing,Consumer,341,27754.8,2694.5,17.15,8228.56,29.65
2024-01-01,East,Home & Garden,Consumer,268,19394.21,1947.51,10.45,4349.4,22.43
2024-01-01,East,Sports,Consumer,190,16757.36,1051.74,16.06,3896.07,23.25
2024-01-01,East,Books,Consumer,127,8751.06,816.08,8.77,2823.11,32.26
2024-01-01,West,Electronics,Consumer,711,38278.33,2676.72,12.44,5118.73,13.37
2024-01-01,West,Clothing,Small Business,277,22281.43,1531.33,13.79,5668.14,25.44
2024-01-01,West,Home & Garden,Consumer,206,17104.7,1651.77,16.58,3936.33,23.01
2024-01-01,West,Sports,Consumer,166,14693.23,1418.2,16.84,2474.47,16.84
2024-01-01,West,Books,Consumer,200,7098.91,496.2,13.48,2253.12,31.74
2024-02-01,North,Electronics,Consumer,698,38547.91,1865.36,9.9,5607.61,14.55
2024-02-01,North,Clothing,Consumer,323,29916.75,2668.91,13.29,8313.97,27.79
2024-02-01,North,Home & Garden,Consumer,518,19274.77,1155.31,11.87,4552.79,23.62
2024-02-01,North,Sports,Consumer,510,22301.22,1327.04,11.04,4815.54,21.59
2024-02-01,North,Books,Corporate,129,10166.63,575.78,15.76,3505.5,34.48
2024-02-01,South,Electronics,Corporate,851,31882.76,2471.05,7.05,4523.18,14.19
2024-02-01,South,Clothing,Small Business,461,20970.17,1785.86,12.34,5355.55,25.54
2024-02-01,South,Home & Garden,Small Business,234,21142.34,1049.22,8.08,4991.43,23.61
2024-02-01,South,Sports,Consumer,240,16391.6,1593.35,5.85,2856.05,17.42
2024-02-01,South,Books,Consumer,141,7808.66,802.77,13.3,2604.63,33.36
2024-02-01,East,Electronics,Consumer,506,41347.27,4221.39,13.48,4926.3,11.91
2024-02-01,East,Clothing,Consumer,763,26951.63,2773.29,13.47,6958.19,25.82
2024-02-01,East,Home & Garden,Consumer,493,23893.16,2046.15,14.37,4722.53,19.77
2024-02-01,East,Sports,Corporate,243,18081.06,1668.06,16.82,3651.16,20.19
2024-02-01,East,Books,Small Business,168,8338.04,488.31,8.23,2693.13,32.3
2024-02-01,West,Electronics,Consumer,502,34948.48,2941.95,12.07,6549.73,18.74
2024-02-01,West,Clothing,Small Business,653,23815.21,1420.67,7.71,6304.61,26.47
2024-02-01,West,Home & Garden,Small Business,515,18507.81,1976.17,10.88,4789.3,25.88
2024-02-01,West,Sports,Small Business,176,15131.98,1625.98,11.64,2719.05,17.97
2024-02-01,West,Books,Corporate,70,6406.54,398.39,13.07,1751.65,27.34
2024-03-01,North,Electronics,Small Business,475,44884.77,3727.7,12.77,6438.29,14.34
2024-03-01,North,Clothing,Consumer,517,29255.71,2687.25,17.42,8758.23,29.94
2024-03-01,North,Home & Garden,Corporate,293,26342.43,2652.55,14.57,6368.14,24.17
2024-03-01,North,Sports,Consumer,306,27080.12,2315.28,16.77,5666.02,20.92
2024-03-01,North,Books,Consumer,261,9710.1,781.47,10.82,3757.73,38.7
2024-03-01,South,Electronics,Consumer,796,33939.69,2761.28,9.64,6236.33,18.37
2024-03-01,South,Clothing,Consumer,625,25077.83,2096.57,15.4,6900.75,27.52
2024-03-01,South,Home & Garden,Consumer,240,19810.52,1676.37,1.87,5348.26,27.0
2024-03-01,South,Sports,Consumer,173,16015.83,669.05,11.43,3537.43,22.09
2024-03-01,South,Books,Corporate,135,9142.18,476.59,9.63,2756.59,30.15
2024-03-01,East,Electronics,Consumer,500,39651.6,4236.4,16.59,7688.32,19.39
2024-03-01,East,Clothing,Consumer,887,31828.36,1825.08,18.33,7758.68,24.38
2024-03-01,East,Home & Garden,Consumer,585,23920.18,1750.77,15.87,2993.43,12.51
2024-03-01,East,Sports,Consumer,237,17351.13,1220.99,20.16,2370.33,13.66
2024-03-01,East,Books,Consumer,122,10539.6,792.78,4.82,3226.1,30.61
2024-03-01,West,Electronics,Corporate,429,39197.4,3330.58,12.35,5150.29,13.14
2024-03-01,West,Clothing,Small Business,419,28397.41,2046.82,5.81,8462.82,29.8
2024-03-01,West,Home & Garden,Consumer,528,20731.89,2143.15,13.4,4376.59,21.11
2024-03-01,West,Sports,Corporate,201,15436.18,745.13,16.25,3368.85,21.82
2024-03-01,West,Books,Corporate,104,8299.13,798.74,7.86,2569.66,30.96
2024-04-01,North,Electronics,Small Business,591,48219.24,3184.46,12.59,7650.13,15.87
2024-04-01,North,Clothing,Small Business,769,31679.15,2218.48,16.13,9377.79,29.6
2024-04-01,North,Home & Garden,Small Business,315,27942.29,1743.7,12.11,6801.43,24.34
2024-04-01,North,Sports,Consumer,389,20484.48,1641.64,7.91,5716.09,27.9
2024-04-01,North,Books,Consumer,137,11308.92,1078.99,15.96,3412.55,30.18
2024-04-01,South,Electronics,Consumer,661,37035.96,2906.1,16.88,4628.07,12.5
2024-04-01,South,Clothing,Consumer,669,27478.72,2288.3,9.18,8238.25,29.98
2024-04-01,South,Home & Garden,Small Business,500,20052.39,1955.71,9.64,4973.54,24.8
